,frame,x,y,r
0,1.0,661.5,503.5,11.4
1,1.0,724.5,594.5,7.8
2,1.0,629.5,459.5,11.4
3,1.0,623.5,494.5,8.0
4,1.0,614.5,662.5,8.0
5,1.0,569.5,472.5,10.3
6,1.0,723.5,533.5,10.3
7,1.0,692.5,542.5,8.0
8,1.0,518.5,566.5,8.7
9,1.0,553.5,571.5,9.1
10,1.0,586.5,502.5,8.0
11,1.0,538.5,505.5,11.4
12,1.0,541.5,631.5,10.2
13,1.0,638.5,632.5,8.0
14,1.0,671.5,649.5,8.0
15,1.0,673.5,611.5,10.3
16,1.0,560.5,530.5,8.0
17,1.0,699.5,507.5,6.9
18,1.0,600.5,629.5,8.0
19,1.0,569.5,606.5,7.4
20,1.0,692.5,580.5,8.0
21,2.0,661.5,503.5,11.4
22,2.0,724.5,594.5,7.8
23,2.0,539.5,505.5,11.4
24,2.0,697.5,506.5,11.4
25,2.0,614.5,662.5,8.0
26,2.0,560.5,531.5,7.4
27,2.0,587.5,503.5,11.4
28,2.0,518.5,566.5,8.7
29,2.0,692.5,542.5,8.0
30,2.0,554.5,568.5,10.3
31,2.0,628.5,458.5,8.0
32,2.0,639.5,632.5,8.0
33,2.0,672.5,613.5,8.0
34,2.0,623.5,493.5,8.0
35,2.0,540.5,629.5,8.0
36,2.0,671.5,649.5,8.0
37,2.0,726.5,531.5,8.0
38,2.0,569.5,606.5,7.4
39,2.0,599.5,627.5,9.1
40,2.0,692.5,580.5,8.0
41,2.0,567.5,473.5,6.6
42,3.0,543.5,628.5,11.4
43,3.0,661.5,503.5,11.4
44,3.0,586.5,502.5,7.8
45,3.0,724.5,594.5,7.8
46,3.0,629.5,459.5,11.4
47,3.0,569.5,472.5,10.3
48,3.0,623.5,494.5,8.0
49,3.0,614.5,662.5,8.0
50,3.0,560.5,531.5,7.4
51,3.0,672.5,613.5,8.0
52,3.0,518.5,566.5,8.7
53,3.0,535.5,505.5,8.0
54,3.0,692.5,542.5,8.0
55,3.0,553.5,571.5,9.1
56,3.0,639.5,632.5,8.0
57,3.0,699.5,507.5,6.9
58,3.0,671.5,649.5,8.0
59,3.0,693.5,579.5,9.1
60,3.0,569.5,606.5,7.4
61,3.0,600.5,628.5,7.8
62,3.0,725.5,531.5,6.9
63,4.0,586.5,502.5,7.8
64,4.0,724.5,594.5,7.8
65,4.0,661.5,503.5,11.4
66,4.0,623.5,494.5,8.0
67,4.0,629.5,459.5,11.4
68,4.0,692.5,542.5,8.0
69,4.0,614.5,662.5,8.0
70,4.0,560.5,531.5,7.4
71,4.0,535.5,505.5,8.0
72,4.0,672.5,613.5,8.0
73,4.0,553.5,571.5,9.1
74,4.0,568.5,472.5,10.2
75,4.0,639.5,632.5,8.0
76,4.0,724.5,533.5,10.3
77,4.0,540.5,629.5,8.0
78,4.0,699.5,507.5,6.9
79,4.0,671.5,649.5,8.0
80,4.0,569.5,606.5,7.4
81,4.0,518.5,563.5,11.4
82,4.0,598.5,629.5,9.1
83,4.0,692.5,580.5,8.0
84,5.0,614.5,662.5,7.8
85,5.0,629.5,459.5,11.4
86,5.0,623.5,494.5,8.0
87,5.0,724.5,594.5,7.8
88,5.0,692.5,542.5,8.0
89,5.0,539.5,505.5,11.4
90,5.0,672.5,613.5,8.0
91,5.0,560.5,531.5,7.4
92,5.0,518.5,566.5,8.7
93,5.0,553.5,571.5,9.1
94,5.0,540.5,629.5,8.0
95,5.0,639.5,632.5,8.0
96,5.0,698.5,506.5,8.0
97,5.0,726.5,533.5,9.1
98,5.0,566.5,473.5,8.0
99,5.0,671.5,648.5,11.4
100,5.0,661.5,503.5,8.0
101,5.0,585.5,503.5,9.1
102,5.0,569.5,606.5,7.4
103,5.0,692.5,580.5,8.0
104,5.0,598.5,629.5,9.1
105,6.0,586.5,502.5,7.8
106,6.0,724.5,594.5,7.8
107,6.0,518.5,568.5,9.6
108,6.0,623.5,494.5,8.0
109,6.0,629.5,459.5,11.4
110,6.0,569.5,472.5,10.3
111,6.0,600.5,628.5,11.4
112,6.0,692.5,542.5,8.0
113,6.0,535.5,505.5,8.0
114,6.0,672.5,613.5,8.0
115,6.0,560.5,531.5,7.4
116,6.0,557.5,570.5,10.3
117,6.0,616.5,660.5,10.2
118,6.0,540.5,629.5,8.0
119,6.0,671.5,649.5,8.0
120,6.0,698.5,506.5,8.0
121,6.0,726.5,532.5,8.0
122,6.0,101.5,907.5,11.4
123,6.0,661.5,503.5,8.0
124,6.0,569.5,606.5,7.4
125,6.0,692.5,580.5,8.0
126,6.0,640.5,630.5,9.1
127,7.0,614.5,662.5,7.8
128,7.0,629.5,459.5,11.4
129,7.0,661.5,503.5,11.4
130,7.0,623.5,494.5,8.0
131,7.0,724.5,594.5,7.8
132,7.0,587.5,503.5,11.4
133,7.0,672.5,613.5,8.0
134,7.0,692.5,542.5,8.0
135,7.0,518.5,566.5,8.7
136,7.0,560.5,531.5,7.4
137,7.0,535.5,505.5,8.0
138,7.0,698.5,506.5,8.0
139,7.0,568.5,472.5,10.2
140,7.0,553.5,572.5,9.1
141,7.0,540.5,629.5,8.0
142,7.0,639.5,632.5,8.0
143,7.0,726.5,533.5,9.1
144,7.0,671.5,649.5,8.0
145,7.0,569.5,606.5,7.4
146,7.0,599.5,627.5,9.1
147,7.0,692.5,580.5,8.0
148,8.0,614.5,662.5,7.8
149,8.0,629.5,459.5,11.4
150,8.0,661.5,503.5,11.4
151,8.0,697.5,506.5,11.4
152,8.0,724.5,594.5,7.8
153,8.0,555.5,570.5,11.4
154,8.0,539.5,505.5,11.4
155,8.0,587.5,503.5,11.4
156,8.0,518.5,566.5,8.7
157,8.0,672.5,613.5,8.0
158,8.0,692.5,542.5,8.0
159,8.0,560.5,531.5,7.4
160,8.0,693.5,578.5,9.1
161,8.0,623.5,493.5,8.0
162,8.0,540.5,629.5,8.0
163,8.0,566.5,473.5,8.0
164,8.0,671.5,649.5,8.0
165,8.0,726.5,532.5,8.0
166,8.0,569.5,606.5,7.4
167,8.0,600.5,628.5,7.8
168,8.0,638.5,633.5,6.9
169,8.0,103.5,905.5,8.0
170,8.0,86.5,880.5,6.9
171,9.0,543.5,628.5,11.4
172,9.0,586.5,502.5,7.8
173,9.0,661.5,503.5,11.4
174,9.0,569.5,472.5,10.3
175,9.0,724.5,594.5,7.8
176,9.0,629.5,459.5,11.4
177,9.0,691.5,579.5,11.4
178,9.0,623.5,494.5,8.0
179,9.0,725.5,531.5,11.4
180,9.0,535.5,505.5,8.0
181,9.0,614.5,662.5,8.0
182,9.0,560.5,531.5,7.4
183,9.0,518.5,566.5,8.7
184,9.0,672.5,613.5,8.0
185,9.0,692.5,542.5,8.0
186,9.0,553.5,572.5,9.1
187,9.0,698.5,506.5,8.0
188,9.0,671.5,649.5,8.0
189,9.0,569.5,606.5,7.4
190,9.0,598.5,629.5,9.1
191,9.0,638.5,633.5,6.9
192,10.0,586.5,502.5,7.8
193,10.0,724.5,594.5,7.8
194,10.0,629.5,459.5,11.4
195,10.0,614.5,662.5,8.0
196,10.0,560.5,531.5,7.4
197,10.0,539.5,505.5,11.4
198,10.0,518.5,566.5,8.7
199,10.0,692.5,542.5,8.0
200,10.0,553.5,571.5,9.1
201,10.0,624.5,495.5,11.4
202,10.0,540.5,629.5,8.0
203,10.0,566.5,473.5,8.0
204,10.0,698.5,506.5,8.0
205,10.0,726.5,532.5,8.0
206,10.0,568.5,606.5,8.0
207,10.0,661.5,503.5,8.0
208,10.0,671.5,649.5,8.0
209,10.0,599.5,627.5,9.1
210,10.0,672.5,614.5,8.0
211,10.0,638.5,633.5,6.9
212,10.0,692.5,579.5,6.6
213,11.0,614.5,662.5,7.8
214,11.0,724.5,594.5,7.8
215,11.0,661.5,503.5,11.4
216,11.0,698.5,506.5,7.8
217,11.0,629.5,459.5,11.4
218,11.0,539.5,505.5,11.4
219,11.0,692.5,542.5,8.0
220,11.0,560.5,531.5,7.4
221,11.0,518.5,566.5,8.7
222,11.0,672.5,613.5,8.0
223,11.0,623.5,493.5,8.0
224,11.0,558.5,569.5,10.3
225,11.0,586.5,502.5,8.0
226,11.0,540.5,629.5,8.0
227,11.0,638.5,632.5,8.0
228,11.0,569.5,476.5,10.3
229,11.0,671.5,649.5,8.0
230,11.0,726.5,532.5,8.0
231,11.0,569.5,606.5,7.4
232,11.0,692.5,580.5,8.0
233,11.0,600.5,628.5,7.8
234,12.0,543.5,628.5,11.4
235,12.0,614.5,662.5,7.8
236,12.0,698.5,506.5,7.4
237,12.0,724.5,594.5,7.8
238,12.0,587.5,502.5,11.4
239,12.0,661.5,503.5,11.4
240,12.0,623.5,494.5,8.0
241,12.0,560.5,531.5,7.4
242,12.0,600.5,628.5,11.4
243,12.0,628.5,459.5,11.4
244,12.0,692.5,542.5,8.0
245,12.0,558.5,569.5,10.3
246,12.0,518.5,566.5,8.7
247,12.0,672.5,613.5,8.0
248,12.0,538.5,505.5,11.4
249,12.0,693.5,578.5,9.1
250,12.0,671.5,649.5,8.0
251,12.0,566.5,473.5,8.0
252,12.0,638.5,632.5,8.0
253,12.0,726.5,531.5,8.0
254,12.0,569.5,606.5,7.4
255,13.0,661.5,503.5,11.4
256,13.0,623.5,494.5,8.0
257,13.0,698.5,506.5,7.8
258,13.0,724.5,594.5,7.8
259,13.0,569.5,475.5,11.4
260,13.0,629.5,459.5,11.4
261,13.0,587.5,503.5,11.4
262,13.0,692.5,542.5,8.0
263,13.0,560.5,531.5,7.4
264,13.0,614.5,662.5,8.0
265,13.0,539.5,505.5,11.4
266,13.0,672.5,613.5,8.0
267,13.0,521.5,565.5,11.4
268,13.0,553.5,571.5,9.1
269,13.0,540.5,629.5,8.0
270,13.0,671.5,649.5,8.0
271,13.0,726.5,532.5,8.0
272,13.0,569.5,606.5,7.4
273,13.0,600.5,628.5,7.8
274,13.0,689.5,579.5,10.3
275,13.0,638.5,633.5,6.9
276,14.0,614.5,662.5,7.8
277,14.0,698.5,506.5,7.4
278,14.0,586.5,502.5,7.8
279,14.0,724.5,594.5,7.8
280,14.0,623.5,494.5,8.0
281,14.0,569.5,475.5,11.4
282,14.0,629.5,459.5,11.4
283,14.0,558.5,569.5,10.3
284,14.0,723.5,532.5,10.3
285,14.0,692.5,542.5,8.0
286,14.0,518.5,566.5,8.7
287,14.0,603.5,629.5,11.4
288,14.0,541.5,631.5,10.2
289,14.0,535.5,505.5,8.0
290,14.0,639.5,632.5,8.0
291,14.0,568.5,606.5,8.0
292,14.0,671.5,649.5,8.0
293,14.0,661.5,503.5,8.0
294,14.0,560.5,530.5,8.0
295,14.0,692.5,580.5,8.0
296,14.0,672.5,614.5,8.0
297,14.0,102.5,837.5,6.9
298,15.0,543.5,628.5,11.4
299,15.0,614.5,662.5,7.8
300,15.0,586.5,502.5,7.8
301,15.0,724.5,594.5,7.8
302,15.0,698.5,506.5,7.4
303,15.0,623.5,494.5,8.0
304,15.0,560.5,531.5,7.4
305,15.0,553.5,571.5,9.1
306,15.0,692.5,542.5,8.0
307,15.0,600.5,628.5,11.4
308,15.0,725.5,531.5,11.4
309,15.0,518.5,566.5,8.7
310,15.0,672.5,613.5,8.0
311,15.0,671.5,648.5,11.4
312,15.0,566.5,473.5,8.0
313,15.0,628.5,458.5,8.0
314,15.0,569.5,606.5,7.4
315,15.0,663.5,503.5,9.1
316,15.0,692.5,580.5,8.0
317,15.0,540.5,505.5,10.3
318,15.0,638.5,633.5,6.9
319,16.0,543.5,629.5,11.4
320,16.0,614.5,662.5,7.8
321,16.0,698.5,506.5,7.4
322,16.0,724.5,594.5,7.8
323,16.0,601.5,625.5,11.4
324,16.0,629.5,459.5,11.4
325,16.0,725.5,531.5,11.4
326,16.0,623.5,494.5,8.0
327,16.0,560.5,531.5,7.4
328,16.0,672.5,613.5,8.0
329,16.0,692.5,542.5,8.0
330,16.0,553.5,571.5,9.1
331,16.0,518.5,566.5,8.7
332,16.0,566.5,473.5,8.0
333,16.0,586.5,502.5,8.0
334,16.0,571.5,603.5,11.4
335,16.0,639.5,632.5,7.8
336,16.0,671.5,649.5,8.0
337,16.0,536.5,504.5,11.4
338,16.0,661.5,503.5,8.0
339,16.0,692.5,580.5,8.0
340,17.0,614.5,662.5,7.8
341,17.0,586.5,502.5,7.8
342,17.0,724.5,594.5,7.8
343,17.0,672.5,612.5,11.4
344,17.0,623.5,494.5,8.0
345,17.0,692.5,542.5,8.0
346,17.0,539.5,505.5,11.4
347,17.0,629.5,459.5,11.4
348,17.0,560.5,531.5,7.4
349,17.0,553.5,572.5,9.1
350,17.0,518.5,566.5,8.7
351,17.0,566.5,473.5,8.0
352,17.0,639.5,632.5,8.0
353,17.0,691.5,580.5,7.8
354,17.0,540.5,629.5,8.0
355,17.0,671.5,649.5,8.0
356,17.0,660.5,502.5,11.4
357,17.0,726.5,532.5,8.0
358,17.0,599.5,627.5,9.1
359,17.0,569.5,606.5,7.4
360,17.0,699.5,506.5,6.9
361,17.0,1171.5,600.5,10.2
362,18.0,614.5,662.5,7.8
363,18.0,586.5,502.5,7.8
364,18.0,724.5,594.5,7.8
365,18.0,697.5,506.5,11.4
366,18.0,629.5,459.5,11.4
367,18.0,725.5,531.5,11.4
368,18.0,672.5,613.5,8.0
369,18.0,692.5,542.5,8.0
370,18.0,566.5,473.5,8.0
371,18.0,558.5,569.5,10.3
372,18.0,518.5,566.5,8.7
373,18.0,623.5,493.5,8.0
374,18.0,639.5,632.5,8.0
375,18.0,660.5,502.5,11.4
376,18.0,540.5,629.5,8.0
377,18.0,691.5,580.5,7.8
378,18.0,671.5,649.5,8.0
379,18.0,536.5,504.5,11.4
380,18.0,560.5,530.5,8.0
381,18.0,569.5,606.5,7.4
382,18.0,600.5,628.5,7.8
383,18.0,103.5,905.5,8.0
384,18.0,102.5,833.5,6.9
385,19.0,614.5,662.5,7.8
386,19.0,724.5,594.5,7.8
387,19.0,623.5,494.5,8.0
388,19.0,587.5,503.5,11.4
389,19.0,557.5,569.5,11.4
390,19.0,692.5,542.5,8.0
391,19.0,660.5,502.5,11.4
392,19.0,518.5,566.5,8.7
393,19.0,628.5,458.5,8.0
394,19.0,540.5,629.5,8.0
395,19.0,639.5,632.5,8.0
396,19.0,671.5,649.5,8.0
397,19.0,697.5,507.5,11.4
398,19.0,569.5,476.5,10.3
399,19.0,726.5,532.5,8.0
400,19.0,569.5,606.5,7.4
401,19.0,534.5,505.5,9.1
402,19.0,560.5,530.5,8.0
403,19.0,600.5,629.5,8.0
404,19.0,692.5,580.5,8.0
405,19.0,673.5,613.5,8.0
406,19.0,106.5,844.5,6.9
407,20.0,614.5,662.5,7.8
408,20.0,721.5,594.5,10.3
409,20.0,723.5,532.5,10.3
410,20.0,587.5,503.5,11.4
411,20.0,567.5,473.5,11.4
412,20.0,560.5,531.5,7.4
413,20.0,518.5,566.5,8.7
414,20.0,692.5,542.5,8.0
415,20.0,672.5,613.5,8.0
416,20.0,558.5,569.5,10.3
417,20.0,540.5,629.5,8.0
418,20.0,628.5,458.5,8.0
419,20.0,660.5,502.5,11.4
420,20.0,638.5,632.5,8.0
421,20.0,671.5,649.5,8.0
422,20.0,698.5,506.5,8.0
423,20.0,624.5,495.5,11.4
424,20.0,569.5,606.5,7.4
425,20.0,692.5,580.5,8.0
426,20.0,600.5,628.5,7.8
427,20.0,534.5,503.5,6.9
428,21.0,614.5,662.5,7.8
429,21.0,698.5,506.5,7.4
430,21.0,672.5,612.5,11.4
431,21.0,724.5,594.5,7.8
432,21.0,587.5,503.5,11.4
433,21.0,629.5,459.5,11.4
434,21.0,623.5,494.5,8.0
435,21.0,560.5,531.5,7.4
436,21.0,725.5,531.5,11.4
437,21.0,692.5,542.5,8.0
438,21.0,518.5,566.5,8.7
439,21.0,535.5,505.5,8.0
440,21.0,671.5,648.5,11.4
441,21.0,543.5,627.5,10.3
442,21.0,554.5,570.5,8.0
443,21.0,638.5,632.5,8.0
444,21.0,663.5,503.5,10.3
445,21.0,569.5,606.5,7.4
446,21.0,692.5,580.5,8.0
447,21.0,600.5,628.5,7.8
448,21.0,570.5,475.5,8.0
449,22.0,614.5,662.5,7.8
450,22.0,724.5,594.5,7.8
451,22.0,557.5,569.5,11.4
452,22.0,629.5,459.5,11.4
453,22.0,725.5,531.5,11.4
454,22.0,623.5,494.5,8.0
455,22.0,560.5,531.5,8.0
456,22.0,692.5,542.5,8.0
457,22.0,518.5,566.5,8.7
458,22.0,639.5,632.5,8.0
459,22.0,672.5,613.5,8.0
460,22.0,540.5,629.5,8.0
461,22.0,699.5,507.5,6.9
462,22.0,671.5,649.5,8.0
463,22.0,693.5,578.5,9.1
464,22.0,663.5,503.5,10.3
465,22.0,584.5,503.5,9.1
466,22.0,599.5,627.5,9.1
467,22.0,569.5,606.5,7.4
468,22.0,534.5,503.5,6.9
469,22.0,567.5,473.5,6.6
470,23.0,614.5,662.5,7.8
471,23.0,586.5,502.5,7.8
472,23.0,724.5,594.5,7.8
473,23.0,569.5,475.5,11.4
474,23.0,629.5,459.5,11.4
475,23.0,692.5,542.5,8.0
476,23.0,560.5,531.5,7.4
477,23.0,553.5,572.5,9.1
478,23.0,624.5,495.5,11.4
479,23.0,540.5,629.5,8.0
480,23.0,639.5,632.5,8.0
481,23.0,671.5,649.5,8.0
482,23.0,698.5,506.5,8.0
483,23.0,659.5,505.5,10.3
484,23.0,726.5,531.5,8.0
485,23.0,522.5,564.5,10.3
486,23.0,692.5,580.5,8.0
487,23.0,569.5,606.5,7.4
488,23.0,600.5,628.5,7.8
489,23.0,671.5,613.5,8.0
490,23.0,534.5,503.5,6.9
491,24.0,614.5,662.5,7.8
492,24.0,698.5,506.5,7.4
493,24.0,725.5,531.5,11.4
494,24.0,724.5,594.5,7.8
495,24.0,623.5,494.5,8.0
496,24.0,692.5,542.5,8.0
497,24.0,560.5,531.5,7.4
498,24.0,518.5,566.5,8.7
499,24.0,535.5,505.5,8.0
500,24.0,672.5,613.5,8.0
501,24.0,558.5,569.5,10.3
502,24.0,671.5,648.5,11.4
503,24.0,540.5,629.5,8.0
504,24.0,566.5,473.5,8.0
505,24.0,568.5,606.5,8.0
506,24.0,639.5,632.5,7.8
507,24.0,661.5,503.5,8.0
508,24.0,584.5,503.5,9.1
509,24.0,599.5,627.5,9.1
510,24.0,692.5,580.5,8.0
511,24.0,629.5,459.5,6.9
512,25.0,614.5,662.5,7.8
513,25.0,698.5,506.5,7.4
514,25.0,724.5,594.5,7.8
515,25.0,725.5,531.5,11.4
516,25.0,535.5,504.5,8.0
517,25.0,560.5,531.5,7.4
518,25.0,692.5,542.5,8.0
519,25.0,569.5,474.5,11.4
520,25.0,518.5,566.5,8.7
521,25.0,623.5,493.5,8.0
522,25.0,628.5,458.5,8.0
523,25.0,672.5,613.5,8.0
524,25.0,540.5,629.5,8.0
525,25.0,558.5,569.5,10.3
526,25.0,638.5,632.5,8.0
527,25.0,671.5,649.5,8.0
528,25.0,661.5,503.5,8.0
529,25.0,569.5,606.5,7.4
530,25.0,584.5,503.5,9.1
531,25.0,600.5,628.5,7.8
532,25.0,692.5,580.5,8.0
533,26.0,614.5,662.5,7.8
534,26.0,698.5,506.5,7.8
535,26.0,629.5,459.5,11.4
536,26.0,724.5,594.5,7.8
537,26.0,560.5,531.5,7.4
538,26.0,692.5,542.5,8.0
539,26.0,521.5,565.5,11.4
540,26.0,553.5,571.5,9.1
541,26.0,535.5,505.5,8.0
542,26.0,672.5,613.5,8.0
543,26.0,540.5,629.5,8.0
544,26.0,671.5,649.5,8.0
545,26.0,724.5,531.5,11.4
546,26.0,660.5,502.5,11.4
547,26.0,622.5,494.5,9.1
548,26.0,569.5,606.5,7.4
549,26.0,568.5,472.5,9.1
550,26.0,587.5,502.5,8.0
551,26.0,600.5,628.5,7.8
552,26.0,692.5,580.5,8.0
553,26.0,638.5,633.5,6.9
554,27.0,614.5,662.5,7.8
555,27.0,698.5,506.5,7.8
556,27.0,569.5,472.5,10.3
557,27.0,629.5,459.5,11.4
558,27.0,560.5,531.5,7.4
559,27.0,587.5,503.5,11.4
560,27.0,661.5,504.5,11.4
561,27.0,725.5,531.5,11.4
562,27.0,692.5,542.5,8.0
563,27.0,672.5,613.5,8.0
564,27.0,725.5,596.5,9.1
565,27.0,518.5,566.5,8.7
566,27.0,535.5,505.5,8.0
567,27.0,623.5,493.5,8.0
568,27.0,540.5,629.5,8.0
569,27.0,558.5,569.5,10.3
570,27.0,671.5,649.5,8.0
571,27.0,639.5,632.5,7.8
572,27.0,569.5,606.5,7.4
573,27.0,600.5,628.5,7.8
574,27.0,100.5,908.5,11.4
575,27.0,692.5,580.5,8.0
576,28.0,614.5,662.5,7.8
577,28.0,543.5,628.5,11.4
578,28.0,724.5,594.5,7.8
579,28.0,587.5,503.5,11.4
580,28.0,560.5,531.5,7.4
581,28.0,569.5,475.5,11.4
582,28.0,629.5,459.5,11.4
583,28.0,661.5,504.5,11.4
584,28.0,725.5,531.5,11.4
585,28.0,522.5,565.5,11.4
586,28.0,692.5,542.5,8.0
587,28.0,672.5,613.5,8.0
588,28.0,553.5,572.5,9.1
589,28.0,535.5,505.5,8.0
590,28.0,671.5,649.5,8.0
591,28.0,698.5,506.5,8.0
592,28.0,623.5,493.5,8.0
593,28.0,569.5,606.5,7.4
594,28.0,600.5,628.5,7.8
595,28.0,692.5,580.5,8.0
596,28.0,638.5,631.5,8.0
597,29.0,614.5,662.5,7.8
598,29.0,724.5,594.5,7.8
599,29.0,569.5,472.5,10.3
600,29.0,623.5,494.5,8.0
601,29.0,692.5,542.5,8.0
602,29.0,560.5,531.5,7.4
603,29.0,518.5,566.5,8.7
604,29.0,543.5,627.5,10.3
605,29.0,672.5,613.5,8.0
606,29.0,554.5,570.5,8.0
607,29.0,571.5,603.5,11.4
608,29.0,697.5,505.5,10.3
609,29.0,671.5,649.5,8.0
610,29.0,692.5,580.5,7.8
611,29.0,536.5,504.5,11.4
612,29.0,726.5,532.5,8.0
613,29.0,584.5,503.5,9.1
614,29.0,632.5,459.5,10.3
615,29.0,600.5,628.5,7.8
616,29.0,638.5,633.5,6.9
617,29.0,661.5,504.5,6.9
618,30.0,614.5,662.5,7.8
619,30.0,724.5,594.5,7.8
620,30.0,661.5,503.5,11.4
621,30.0,587.5,503.5,11.4
622,30.0,697.5,506.5,11.4
623,30.0,623.5,494.5,8.0
624,30.0,560.5,531.5,7.4
625,30.0,692.5,542.5,8.0
626,30.0,570.5,603.5,11.4
627,30.0,518.5,566.5,8.7
628,30.0,543.5,627.5,10.3
629,30.0,553.5,572.5,9.1
630,30.0,639.5,632.5,8.0
631,30.0,628.5,458.5,8.0
632,30.0,671.5,649.5,8.0
633,30.0,566.5,473.5,8.0
634,30.0,726.5,532.5,8.0
635,30.0,600.5,628.5,7.8
636,30.0,673.5,613.5,8.0
637,30.0,692.5,580.5,8.0
638,30.0,536.5,504.5,9.1
639,30.0,103.5,905.5,8.0
640,31.0,614.5,662.5,7.8
641,31.0,543.5,629.5,11.4
642,31.0,601.5,625.5,11.4
643,31.0,697.5,506.5,11.4
644,31.0,569.5,472.5,10.3
645,31.0,724.5,594.5,7.8
646,31.0,560.5,531.5,7.4
647,31.0,692.5,542.5,8.0
648,31.0,539.5,504.5,11.4
649,31.0,570.5,603.5,11.4
650,31.0,628.5,459.5,11.4
651,31.0,518.5,566.5,8.7
652,31.0,553.5,571.5,9.1
653,31.0,586.5,502.5,8.0
654,31.0,639.5,632.5,8.0
655,31.0,672.5,613.5,8.0
656,31.0,623.5,493.5,8.0
657,31.0,671.5,649.5,8.0
658,31.0,726.5,532.5,8.0
659,31.0,661.5,503.5,8.0
660,31.0,692.5,580.5,8.0
661,31.0,100.5,907.5,10.3
662,31.0,82.5,870.5,6.9
663,32.0,614.5,662.5,7.8
664,32.0,672.5,612.5,11.4
665,32.0,724.5,594.5,7.8
666,32.0,587.5,503.5,11.4
667,32.0,725.5,531.5,11.4
668,32.0,623.5,494.5,8.0
669,32.0,629.5,459.5,11.4
670,32.0,569.5,472.5,10.3
671,32.0,692.5,542.5,8.0
672,32.0,557.5,569.5,11.4
673,32.0,560.5,531.5,7.4
674,32.0,543.5,627.5,10.3
675,32.0,518.5,566.5,8.7
676,32.0,639.5,632.5,8.0
677,32.0,535.5,505.5,8.0
678,32.0,671.5,649.5,8.0
679,32.0,698.5,506.5,8.0
680,32.0,661.5,503.5,8.0
681,32.0,569.5,606.5,7.4
682,32.0,692.5,580.5,8.0
683,32.0,600.5,628.5,7.8
684,32.0,103.5,905.5,8.0
685,33.0,614.5,662.5,7.8
686,33.0,661.5,503.5,11.4
687,33.0,672.5,612.5,11.4
688,33.0,629.5,459.5,11.4
689,33.0,569.5,472.5,10.3
690,33.0,623.5,494.5,8.0
691,33.0,560.5,531.5,7.4
692,33.0,725.5,531.5,11.4
693,33.0,692.5,542.5,8.0
694,33.0,518.5,566.5,8.7
695,33.0,535.5,505.5,8.0
696,33.0,586.5,502.5,8.0
697,33.0,639.5,632.5,8.0
698,33.0,540.5,629.5,8.0
699,33.0,725.5,594.5,8.0
700,33.0,553.5,571.5,9.1
701,33.0,671.5,649.5,8.0
702,33.0,698.5,506.5,8.0
703,33.0,691.5,580.5,8.0
704,33.0,569.5,606.5,7.4
705,33.0,600.5,628.5,7.8
706,34.0,614.5,662.5,7.8
707,34.0,724.5,594.5,7.8
708,34.0,725.5,531.5,11.4
709,34.0,522.5,565.5,11.4
710,34.0,623.5,494.5,8.0
711,34.0,560.5,531.5,7.4
712,34.0,543.5,627.5,10.3
713,34.0,692.5,542.5,8.0
714,34.0,558.5,569.5,10.3
715,34.0,628.5,458.5,8.0
716,34.0,535.5,505.5,8.0
717,34.0,586.5,502.5,8.0
718,34.0,639.5,632.5,8.0
719,34.0,566.5,473.5,8.0
720,34.0,663.5,503.5,10.3
721,34.0,671.5,649.5,8.0
722,34.0,698.5,506.5,8.0
723,34.0,673.5,611.5,10.3
724,34.0,569.5,606.5,7.4
725,34.0,600.5,628.5,7.8
726,34.0,692.5,580.5,8.0
727,35.0,614.5,662.5,7.8
728,35.0,661.5,503.5,11.4
729,35.0,586.5,502.5,7.8
730,35.0,724.5,594.5,7.8
731,35.0,672.5,612.5,11.4
732,35.0,629.5,459.5,11.4
733,35.0,623.5,494.5,8.0
734,35.0,560.5,531.5,7.4
735,35.0,692.5,542.5,8.0
736,35.0,518.5,566.5,8.7
737,35.0,553.5,571.5,9.1
738,35.0,540.5,629.5,8.0
739,35.0,671.5,649.5,8.0
740,35.0,726.5,531.5,8.0
741,35.0,699.5,507.5,6.9
742,35.0,571.5,604.5,11.4
743,35.0,640.5,630.5,10.3
744,35.0,598.5,629.5,9.1
745,35.0,692.5,580.5,8.0
746,35.0,534.5,503.5,6.9
747,35.0,567.5,473.5,6.6
748,36.0,614.5,662.5,7.8
749,36.0,698.5,506.5,7.4
750,36.0,586.5,502.5,7.8
751,36.0,724.5,594.5,7.8
752,36.0,725.5,531.5,11.4
753,36.0,672.5,612.5,11.4
754,36.0,623.5,494.5,8.0
755,36.0,629.5,459.5,11.4
756,36.0,560.5,531.5,7.4
757,36.0,557.5,569.5,11.4
758,36.0,692.5,542.5,8.0
759,36.0,639.5,632.5,8.0
760,36.0,518.5,566.5,8.7
761,36.0,540.5,629.5,8.0
762,36.0,671.5,649.5,8.0
763,36.0,661.5,503.5,8.0
764,36.0,569.5,606.5,7.4
765,36.0,600.5,628.5,7.8
766,36.0,567.5,473.5,8.0
767,36.0,692.5,580.5,8.0
768,36.0,534.5,503.5,6.9
769,36.0,82.5,870.5,6.9
770,37.0,614.5,662.5,7.8
771,37.0,698.5,506.5,7.4
772,37.0,569.5,472.5,10.3
773,37.0,724.5,594.5,7.8
774,37.0,629.5,459.5,11.4
775,37.0,623.5,494.5,8.0
776,37.0,587.5,503.5,11.4
