frame,frame,x,y,r,particle
1,1,653.5,548.5,103.2,0
2,2,653.5,548.5,103.2,0
3,3,652.5,548.5,104.3,0
4,4,652.5,548.5,104.3,0
5,5,655.5,548.5,103.2,0
6,6,653.5,548.5,103.2,0
7,7,655.5,548.5,103.2,0
8,8,655.5,548.5,103.2,0
9,9,655.5,548.5,103.2,0
10,10,655.5,548.5,103.2,0
11,11,655.5,548.5,103.2,0
12,12,655.5,548.5,103.2,0
13,13,655.5,548.5,103.2,0
14,14,655.5,548.5,103.2,0
15,15,655.5,548.5,103.2,0
16,16,655.5,548.5,103.2,0
17,17,655.5,548.5,103.2,0
18,18,653.5,548.5,103.2,0
19,19,655.5,548.5,103.2,0
20,20,655.5,548.5,103.2,0
21,21,655.5,548.5,103.2,0
22,22,655.5,548.5,103.2,0
23,23,655.5,548.5,103.2,0
24,24,655.5,548.5,103.2,0
25,25,654.5,548.5,104.3,0
26,26,654.5,548.5,104.3,0
27,27,654.5,548.5,104.3,0
28,28,654.5,548.5,104.3,0
29,29,653.5,548.5,103.2,0
30,30,653.5,548.5,103.2,0
31,31,653.5,548.5,103.2,0
32,32,652.5,548.5,104.3,0
33,33,652.5,548.5,104.3,0
34,34,652.5,548.5,104.3,0
35,35,655.5,548.5,103.2,0
36,36,655.5,548.5,103.2,0
37,37,655.5,548.5,103.2,0
38,38,655.5,548.5,103.2,0
39,39,655.5,548.5,103.2,0
40,40,655.5,548.5,103.2,0
41,41,655.5,548.5,103.2,0
42,42,655.5,548.5,103.2,0
43,43,655.5,548.5,103.2,0
44,44,655.5,548.5,103.2,0
45,45,655.5,548.5,103.2,0
46,46,655.5,548.5,103.2,0
47,47,655.5,548.5,103.2,0
48,48,655.5,548.5,103.2,0
49,49,653.5,548.5,103.2,0
50,50,653.5,548.5,103.2,0
51,51,653.5,548.5,103.2,0
52,52,653.5,548.5,103.2,0
53,53,653.5,548.5,103.2,0
54,54,653.5,548.5,103.2,0
55,55,653.5,548.5,103.2,0
56,56,654.5,549.5,104.3,0
57,57,654.5,549.5,104.3,0
58,58,655.5,548.5,103.2,0
59,59,655.5,548.5,103.2,0
60,60,655.5,548.5,103.2,0
61,61,655.5,548.5,103.2,0
62,62,655.5,548.5,103.2,0
63,63,655.5,548.5,103.2,0
64,64,655.5,548.5,103.2,0
65,65,655.5,548.5,103.2,0
66,66,655.5,548.5,103.2,0
67,67,655.5,548.5,103.2,0
68,68,655.5,548.5,103.2,0
69,69,655.5,548.5,103.2,0
70,70,655.5,548.5,103.2,0
71,71,655.5,548.5,103.2,0
72,72,655.5,548.5,103.2,0
73,73,655.5,548.5,103.2,0
74,74,655.5,548.5,103.2,0
75,75,655.5,548.5,103.2,0
76,76,655.5,548.5,103.2,0
77,77,654.5,548.5,104.3,0
78,78,655.5,548.5,103.2,0
79,79,655.5,548.5,103.2,0
80,80,655.5,548.5,103.2,0
81,81,655.5,548.5,103.2,0
82,82,655.5,548.5,103.2,0
83,83,655.5,548.5,103.2,0
84,84,655.5,548.5,103.2,0
85,85,655.5,548.5,103.2,0
86,86,655.5,548.5,103.2,0
87,87,655.5,548.5,103.2,0
88,88,655.5,548.5,103.2,0
89,89,655.5,548.5,103.2,0
90,90,655.5,548.5,103.2,0
91,91,655.5,548.5,103.2,0
92,92,654.5,548.5,104.3,0
93,93,654.5,548.5,104.3,0
94,94,654.5,548.5,104.3,0
95,95,653.5,548.5,103.2,0
96,96,655.5,548.5,103.2,0
97,97,655.5,548.5,103.2,0
98,98,655.5,548.5,103.2,0
99,99,655.5,548.5,103.2,0
100,100,655.5,548.5,103.2,0
101,101,655.5,548.5,103.2,0
102,102,655.5,548.5,103.2,0
103,103,655.5,548.5,103.2,0
104,104,655.5,548.5,103.2,0
105,105,655.5,548.5,103.2,0
106,106,655.5,548.5,103.2,0
107,107,655.5,548.5,103.2,0
108,108,655.5,548.5,103.2,0
109,109,655.5,548.5,103.2,0
110,110,655.5,548.5,103.2,0
111,111,655.5,548.5,103.2,0
112,112,655.5,548.5,103.2,0
113,113,655.5,548.5,103.2,0
114,114,655.5,548.5,103.2,0
115,115,655.5,548.5,103.2,0
116,116,655.5,548.5,103.2,0
117,117,655.5,548.5,103.2,0
118,118,655.5,548.5,103.2,0
119,119,655.5,548.5,103.2,0
120,120,655.5,548.5,103.2,0
121,121,655.5,548.5,103.2,0
122,122,655.5,548.5,103.2,0
123,123,655.5,548.5,103.2,0
124,124,655.5,548.5,103.2,0
125,125,653.5,548.5,103.2,0
126,126,655.5,548.5,103.2,0
127,127,655.5,548.5,103.2,0
128,128,655.5,548.5,103.2,0
129,129,655.5,548.5,103.2,0
130,130,655.5,548.5,103.2,0
131,131,655.5,548.5,103.2,0
132,132,655.5,548.5,103.2,0
133,133,655.5,548.5,103.2,0
134,134,655.5,548.5,103.2,0
135,135,655.5,548.5,103.2,0
136,136,655.5,548.5,103.2,0
137,137,654.5,547.5,103.2,0
138,138,654.5,547.5,103.2,0
139,139,654.5,547.5,104.3,0
140,140,655.5,548.5,103.2,0
141,141,652.5,548.5,104.3,0
142,142,652.5,548.5,104.3,0
143,143,655.5,548.5,103.2,0
144,144,655.5,548.5,103.2,0
145,145,655.5,548.5,103.2,0
146,146,655.5,548.5,103.2,0
147,147,655.5,548.5,103.2,0
148,148,655.5,548.5,103.2,0
149,149,655.5,548.5,103.2,0
150,150,655.5,548.5,103.2,0
151,151,655.5,548.5,103.2,0
152,152,655.5,548.5,103.2,0
153,153,652.5,548.5,104.3,0
154,154,655.5,548.5,103.2,0
155,155,655.5,548.5,103.2,0
156,156,655.5,548.5,103.2,0
157,157,655.5,548.5,103.2,0
158,158,655.5,548.5,103.2,0
159,159,655.5,548.5,103.2,0
160,160,655.5,548.5,103.2,0
161,161,655.5,548.5,103.2,0
162,162,655.5,548.5,103.2,0
163,163,655.5,548.5,103.2,0
164,164,655.5,548.5,103.2,0
165,165,655.5,548.5,103.2,0
166,166,655.5,548.5,103.2,0
167,167,655.5,548.5,103.2,0
168,168,655.5,548.5,103.2,0
169,169,655.5,548.5,103.2,0
170,170,655.5,548.5,103.2,0
171,171,655.5,548.5,103.2,0
172,172,655.5,548.5,103.2,0
173,173,655.5,548.5,103.2,0
174,174,655.5,548.5,103.2,0
175,175,655.5,548.5,103.2,0
176,176,655.5,548.5,103.2,0
177,177,655.5,548.5,103.2,0
178,178,655.5,548.5,103.2,0
179,179,655.5,548.5,103.2,0
180,180,655.5,548.5,103.2,0
181,181,655.5,548.5,103.2,0
182,182,655.5,548.5,103.2,0
183,183,655.5,548.5,103.2,0
184,184,655.5,548.5,103.2,0
185,185,655.5,548.5,103.2,0
186,186,655.5,548.5,103.2,0
187,187,655.5,548.5,103.2,0
188,188,655.5,548.5,103.2,0
189,189,655.5,548.5,103.2,0
190,190,655.5,548.5,103.2,0
191,191,655.5,548.5,103.2,0
192,192,655.5,548.5,103.2,0
193,193,655.5,548.5,103.2,0
194,194,655.5,548.5,103.2,0
195,195,655.5,548.5,103.2,0
